Year,Region,Hour,Technology,Fuel,value
2030,UK,30,SolarPV,Power,41.407164927000004
2040,UK,30,SolarPV,Power,66.45594371
2050,UK,30,SolarPV,Power,204.4798268
2020,DE,31,SolarPV,Power,43.368604832
2030,DE,31,SolarPV,Power,60.185002624
2040,DE,31,SolarPV,Power,87.622283232
2050,DE,31,SolarPV,Power,177.0147136
2020,FR,31,SolarPV,Power,57.77320081
2030,FR,31,SolarPV,Power,79.549253423
2040,FR,31,SolarPV,Power,109.324672302
2050,FR,31,SolarPV,Power,266.6455422
2020,NO,31,SolarPV,Power,8.847240248999999
2030,NO,31,SolarPV,Power,11.969795631
2040,NO,31,SolarPV,Power,17.694480497999997
2050,NO,31,SolarPV,Power,34.868535099
2020,DK,31,SolarPV,Power,13.73489655
2030,DK,31,SolarPV,Power,18.771025285
2040,DK,31,SolarPV,Power,27.4697931
2050,DK,31,SolarPV,Power,54.9395862
2020,UK,31,SolarPV,Power,33.294311300000004
2030,UK,31,SolarPV,Power,46.49722785
2040,UK,31,SolarPV,Power,74.6251805
2050,UK,31,SolarPV,Power,229.61594
2020,DE,32,SolarPV,Power,38.281456878
2030,DE,32,SolarPV,Power,53.125287096
2040,DE,32,SolarPV,Power,77.344167978
2050,DE,32,SolarPV,Power,156.2508444
2020,FR,32,SolarPV,Power,50.36291689
2030,FR,32,SolarPV,Power,69.345862487
2040,FR,32,SolarPV,Power,95.302135038
2050,FR,32,SolarPV,Power,232.4442318
2020,NO,32,SolarPV,Power,7.1119478240000005
2030,NO,32,SolarPV,Power,9.622047056
2040,NO,32,SolarPV,Power,14.223895648000001
2050,NO,32,SolarPV,Power,28.029441424
2020,DK,32,SolarPV,Power,14.19960972
2030,DK,32,SolarPV,Power,19.406133284
2040,DK,32,SolarPV,Power,28.39921944
2050,DK,32,SolarPV,Power,56.79843888
2020,UK,32,SolarPV,Power,30.242533478
2030,UK,32,SolarPV,Power,42.235262271
2040,UK,32,SolarPV,Power,67.78498883
2050,UK,32,SolarPV,Power,208.5691964
2020,DE,33,SolarPV,Power,22.743432026
2030,DE,33,SolarPV,Power,31.562313832
2040,DE,33,SolarPV,Power,45.951015726
2050,DE,33,SolarPV,Power,92.8303348
2020,FR,33,SolarPV,Power,29.39077999
2030,FR,33,SolarPV,Power,40.468843217
2040,FR,33,SolarPV,Power,55.616399058
2050,FR,33,SolarPV,Power,135.64975379999998
2020,NO,33,SolarPV,Power,4.891130571
2030,NO,33,SolarPV,Power,6.617411949
2040,NO,33,SolarPV,Power,9.782261142
2050,NO,33,SolarPV,Power,19.276808721000002
2020,DK,33,SolarPV,Power,8.45713365
2030,DK,33,SolarPV,Power,11.558082655
2040,DK,33,SolarPV,Power,16.9142673
2050,DK,33,SolarPV,Power,33.8285346
2020,UK,33,SolarPV,Power,21.021653052
2030,UK,33,SolarPV,Power,29.357825813999998
2040,UK,33,SolarPV,Power,47.11749822
2050,UK,33,SolarPV,Power,144.9769176
2020,DE,34,SolarPV,Power,13.597452861999999
2030,DE,34,SolarPV,Power,18.869934584
2040,DE,34,SolarPV,Power,27.472404761999996
2050,DE,34,SolarPV,Power,55.4998076
2020,FR,34,SolarPV,Power,22.09993851
2030,FR,34,SolarPV,Power,30.429915333
2040,FR,34,SolarPV,Power,41.819883642
2050,FR,34,SolarPV,Power,101.99971620000001
2020,NO,34,SolarPV,Power,1.785159273
2030,NO,34,SolarPV,Power,2.415215487
2040,NO,34,SolarPV,Power,3.570318546
2050,NO,34,SolarPV,Power,7.035627723
2020,DK,34,SolarPV,Power,3.5444729099999996
2030,DK,34,SolarPV,Power,4.844112977
2040,DK,34,SolarPV,Power,7.088945819999999
2050,DK,34,SolarPV,Power,14.177891639999999
2020,UK,34,SolarPV,Power,12.023118409999999
2030,UK,34,SolarPV,Power,16.790906744999997
2040,UK,34,SolarPV,Power,26.948368849999998
2050,UK,34,SolarPV,Power,82.91805799999999
2020,DE,35,SolarPV,Power,1.411990076
2030,DE,35,SolarPV,Power,1.959496432
2040,DE,35,SolarPV,Power,2.852796276
2050,DE,35,SolarPV,Power,5.7632248
2020,FR,35,SolarPV,Power,11.63690918
2030,FR,35,SolarPV,Power,16.023128793999998
2040,FR,35,SolarPV,Power,22.020612756
2050,FR,35,SolarPV,Power,53.7088116
2020,UK,35,SolarPV,Power,3.29147535
2030,UK,35,SolarPV,Power,4.596715574999999
2040,UK,35,SolarPV,Power,7.3774447499999996
2050,UK,35,SolarPV,Power,22.69983
2020,FR,36,SolarPV,Power,1.30358514
2030,FR,36,SolarPV,Power,1.7949364620000001
2040,FR,36,SolarPV,Power,2.466784188
2050,FR,36,SolarPV,Power,6.0165468
2020,NO,48,SolarPV,Power,0.134502079
2030,NO,48,SolarPV,Power,0.18197340099999998
2040,NO,48,SolarPV,Power,0.269004158
2050,NO,48,SolarPV,Power,0.530096429
2020,DK,48,SolarPV,Power,2.04077676
2030,DK,48,SolarPV,Power,2.789061572
2040,DK,48,SolarPV,Power,4.08155352
2050,DK,48,SolarPV,Power,8.16310704
2020,DE,49,SolarPV,Power,15.767420900000001
2030,DE,49,SolarPV,Power,21.881318800000003
2040,DE,49,SolarPV,Power,31.8566259
2050,DE,49,SolarPV,Power,64.35682
2020,FR,49,SolarPV,Power,10.43476304
2030,FR,49,SolarPV,Power,14.367866032
2040,FR,49,SolarPV,Power,19.745782368
2050,FR,49,SolarPV,Power,48.1604448
2020,NO,49,SolarPV,Power,2.814231935
2030,NO,49,SolarPV,Power,3.8074902649999998
2040,NO,49,SolarPV,Power,5.62846387
2050,NO,49,SolarPV,Power,11.091384685
2020,DK,49,SolarPV,Power,7.840239330000001
2030,DK,49,SolarPV,Power,10.714993751000002
2040,DK,49,SolarPV,Power,15.680478660000002
2050,DK,49,SolarPV,Power,31.360957320000004
2020,UK,49,SolarPV,Power,1.12230667
2030,UK,49,SolarPV,Power,1.567359315
2040,UK,49,SolarPV,Power,2.51551495
2050,UK,49,SolarPV,Power,7.740046
2020,DE,50,SolarPV,Power,26.375264692
2030,DE,50,SolarPV,Power,36.602408144
2040,DE,50,SolarPV,Power,53.288800091999995
2050,DE,50,SolarPV,Power,107.6541416
2020,FR,50,SolarPV,Power,34.951373079999996
2030,FR,50,SolarPV,Power,48.125352164
2040,FR,50,SolarPV,Power,66.138752136
2050,FR,50,SolarPV,Power,161.3140296
2020,NO,50,SolarPV,Power,3.9155523189999997
2030,NO,50,SolarPV,Power,5.297511961
2040,NO,50,SolarPV,Power,7.831104637999999
2050,NO,50,SolarPV,Power,15.431882668999998
2020,DK,50,SolarPV,Power,11.7986139
2030,DK,50,SolarPV,Power,16.12477233
2040,DK,50,SolarPV,Power,23.5972278
2050,DK,50,SolarPV,Power,47.1944556
2020,UK,50,SolarPV,Power,13.144998374
2030,UK,50,SolarPV,Power,18.357670143
2040,UK,50,SolarPV,Power,29.46292739
2050,UK,50,SolarPV,Power,90.6551612
2020,DE,51,SolarPV,Power,41.537916518
2030,DE,51,SolarPV,Power,57.644455576
2040,DE,51,SolarPV,Power,83.923545618
2050,DE,51,SolarPV,Power,169.5425164
2020,FR,51,SolarPV,Power,54.42086572
2030,FR,51,SolarPV,Power,74.933345876
2040,FR,51,SolarPV,Power,102.98102282400001
2050,FR,51,SolarPV,Power,251.1732264
2020,NO,51,SolarPV,Power,5.20075866
2030,NO,51,SolarPV,Power,7.03632054
2040,NO,51,SolarPV,Power,10.40151732
2050,NO,51,SolarPV,Power,20.49710766
2020,DK,51,SolarPV,Power,15.98639016
2030,DK,51,SolarPV,Power,21.848066552
2040,DK,51,SolarPV,Power,31.97278032
2050,DK,51,SolarPV,Power,63.94556064
2020,UK,51,SolarPV,Power,21.08789926
2030,UK,51,SolarPV,Power,29.450342069999998
2040,UK,51,SolarPV,Power,47.2659811
2050,UK,51,SolarPV,Power,145.433788
2020,DE,52,SolarPV,Power,49.714880208
2030,DE,52,SolarPV,Power,68.992078656
2040,DE,52,SolarPV,Power,100.444349808
2050,DE,52,SolarPV,Power,202.9178784
2020,FR,52,SolarPV,Power,64.16668973
2030,FR,52,SolarPV,Power,88.352595859
2040,FR,52,SolarPV,Power,121.423120566
2050,FR,52,SolarPV,Power,296.15395259999997
2020,NO,52,SolarPV,Power,5.929363411000001
2030,NO,52,SolarPV,Power,8.022079909
2040,NO,52,SolarPV,Power,11.858726822000001
2050,NO,52,SolarPV,Power,23.368667561000002
2020,DK,52,SolarPV,Power,17.913114479999997
2030,DK,52,SolarPV,Power,24.481256455999997
2040,DK,52,SolarPV,Power,35.826228959999995
2050,DK,52,SolarPV,Power,71.65245791999999
2020,UK,52,SolarPV,Power,29.365561066
2030,UK,52,SolarPV,Power,41.010524937
2040,UK,52,SolarPV,Power,65.81936101000001
2050,UK,52,SolarPV,Power,202.5211108
2020,DE,53,SolarPV,Power,56.569529800000005
2030,DE,53,SolarPV,Power,78.50465360000001
2040,DE,53,SolarPV,Power,114.2935398
2050,DE,53,SolarPV,Power,230.89604000000003
2020,FR,53,SolarPV,Power,67.10853942
2030,FR,53,SolarPV,Power,92.403296586
2040,FR,53,SolarPV,Power,126.990005364
2050,FR,53,SolarPV,Power,309.7317204
2020,NO,53,SolarPV,Power,8.312463072
2030,NO,53,SolarPV,Power,11.246273568000001
2040,NO,53,SolarPV,Power,16.624926144
2050,NO,53,SolarPV,Power,32.760883872
2020,DK,53,SolarPV,Power,18.377034
2030,DK,53,SolarPV,Power,25.1152798
2040,DK,53,SolarPV,Power,36.754068
2050,DK,53,SolarPV,Power,73.508136
2020,UK,53,SolarPV,Power,27.487196034
2030,UK,53,SolarPV,Power,38.387291013
2040,UK,53,SolarPV,Power,61.609232490000004
2050,UK,53,SolarPV,Power,189.5668692
2020,DE,54,SolarPV,Power,53.597763688
2030,DE,54,SolarPV,Power,74.380570016
2040,DE,54,SolarPV,Power,108.289359288
2050,DE,54,SolarPV,Power,218.7663824
2020,FR,54,SolarPV,Power,66.46370367
2030,FR,54,SolarPV,Power,91.515407361
2040,FR,54,SolarPV,Power,125.769777714
2050,FR,54,SolarPV,Power,306.7555554
2020,NO,54,SolarPV,Power,8.528470001999999
2030,NO,54,SolarPV,Power,11.538518238
2040,NO,54,SolarPV,Power,17.056940003999998
2050,NO,54,SolarPV,Power,33.612205302
2020,DK,54,SolarPV,Power,17.78270124
2030,DK,54,SolarPV,Power,24.303025028
2040,DK,54,SolarPV,Power,35.56540248
2050,DK,54,SolarPV,Power,71.13080496
2020,UK,54,SolarPV,Power,27.852469768
2030,UK,54,SolarPV,Power,38.897414676000004
2040,UK,54,SolarPV,Power,62.42794948
2050,UK,54,SolarPV,Power,192.0859984
2020,DE,55,SolarPV,Power,52.046967588
2030,DE,55,SolarPV,Power,72.22844481599999
2040,DE,55,SolarPV,Power,105.156118188
2050,DE,55,SolarPV,Power,212.4366024
2020,FR,55,SolarPV,Power,68.21435842
2030,FR,55,SolarPV,Power,93.925924286
2040,FR,55,SolarPV,Power,129.08255516399998
2050,FR,55,SolarPV,Power,314.83550039999994
2020,NO,55,SolarPV,Power,9.065543216
2030,NO,55,SolarPV,Power,12.265146704000001
2040,NO,55,SolarPV,Power,18.131086432
2050,NO,55,SolarPV,Power,35.728905616
2020,DK,55,SolarPV,Power,16.236103919999998
2030,DK,55,SolarPV,Power,22.189342024
2040,DK,55,SolarPV,Power,32.472207839999996
2050,DK,55,SolarPV,Power,64.94441567999999
2020,UK,55,SolarPV,Power,22.99128816
2030,UK,55,SolarPV,Power,32.10852312
2040,UK,55,SolarPV,Power,51.5321976
2050,UK,55,SolarPV,Power,158.560608
2020,DE,56,SolarPV,Power,43.333377164
2030,DE,56,SolarPV,Power,60.136115247999996
2040,DE,56,SolarPV,Power,87.551108964
2050,DE,56,SolarPV,Power,176.87092719999998
2020,FR,56,SolarPV,Power,62.05326985
2030,FR,56,SolarPV,Power,85.442579255
2040,FR,56,SolarPV,Power,117.42387987000001
2050,FR,56,SolarPV,Power,286.399707
2020,NO,56,SolarPV,Power,7.6761881260000004
2030,NO,56,SolarPV,Power,10.385430994
2040,NO,56,SolarPV,Power,15.352376252000001
2050,NO,56,SolarPV,Power,30.253212026
2020,DK,56,SolarPV,Power,14.82513417
2030,DK,56,SolarPV,Power,20.261016699
2040,DK,56,SolarPV,Power,29.65026834
2050,DK,56,SolarPV,Power,59.30053668
2020,UK,56,SolarPV,Power,22.810177012
2030,UK,56,SolarPV,Power,31.855592033999997
2040,UK,56,SolarPV,Power,51.12625882
2050,UK,56,SolarPV,Power,157.3115656
2020,DE,57,SolarPV,Power,37.66299642
2030,DE,57,SolarPV,Power,52.26701544
2040,DE,57,SolarPV,Power,76.09462542
2050,DE,57,SolarPV,Power,153.726516
2020,FR,57,SolarPV,Power,52.8386976
2030,FR,57,SolarPV,Power,72.75482208
2040,FR,57,SolarPV,Power,99.98707392
2050,FR,57,SolarPV,Power,243.870912
2020,NO,57,SolarPV,Power,6.475607632
2030,NO,57,SolarPV,Power,8.761116207999999
2040,NO,57,SolarPV,Power,12.951215264
2050,NO,57,SolarPV,Power,25.521512431999998
2020,DK,57,SolarPV,Power,11.52953253
2030,DK,57,SolarPV,Power,15.757027790999999
2040,DK,57,SolarPV,Power,23.05906506
2050,DK,57,SolarPV,Power,46.11813012
2020,UK,57,SolarPV,Power,18.276700276
2030,UK,57,SolarPV,Power,25.524357281999997
2040,UK,57,SolarPV,Power,40.965017859999996
2050,UK,57,SolarPV,Power,126.04620879999999
2020,DE,58,SolarPV,Power,24.952424643999997
2030,DE,58,SolarPV,Power,34.627854608
2040,DE,58,SolarPV,Power,50.414082443999995
2050,DE,58,SolarPV,Power,101.84663119999999
2020,FR,58,SolarPV,Power,43.18417389
2030,FR,58,SolarPV,Power,59.461285587
2040,FR,58,SolarPV,Power,81.717744438
2050,FR,58,SolarPV,Power,199.3115718
2020,NO,58,SolarPV,Power,3.5748435549999997
2030,NO,58,SolarPV,Power,4.836553045
2040,NO,58,SolarPV,Power,7.1496871099999995
2050,NO,58,SolarPV,Power,14.089089305
2020,DK,58,SolarPV,Power,7.01252151
2030,DK,58,SolarPV,Power,9.583779397
2040,DK,58,SolarPV,Power,14.02504302
2050,DK,58,SolarPV,Power,28.05008604
2020,UK,58,SolarPV,Power,15.168577948000001
2030,UK,58,SolarPV,Power,21.183703686
2040,UK,58,SolarPV,Power,33.99853678
2050,UK,58,SolarPV,Power,104.61088240000001
2020,DE,59,SolarPV,Power,15.867811218
2030,DE,59,SolarPV,Power,22.020635975999998
2040,DE,59,SolarPV,Power,32.059455318
2050,DE,59,SolarPV,Power,64.76657639999999
2020,FR,59,SolarPV,Power,31.818503210000003
2030,FR,59,SolarPV,Power,43.811631343
2040,FR,59,SolarPV,Power,60.210398382
2050,FR,59,SolarPV,Power,146.8546302
2020,NO,59,SolarPV,Power,0.765279565
2030,NO,59,SolarPV,Power,1.035378235
2040,NO,59,SolarPV,Power,1.53055913
2050,NO,59,SolarPV,Power,3.0161018150000003
2020,DK,59,SolarPV,Power,2.4768864600000002
2030,DK,59,SolarPV,Power,3.385078162
2040,DK,59,SolarPV,Power,4.9537729200000005
2050,DK,59,SolarPV,Power,9.907545840000001
2020,UK,59,SolarPV,Power,10.345788744
2030,UK,59,SolarPV,Power,14.448429108
2040,UK,59,SolarPV,Power,23.188836839999997
2050,UK,59,SolarPV,Power,71.35026719999999
2020,FR,60,SolarPV,Power,9.547360549999999
2030,FR,60,SolarPV,Power,13.145981064999999
2040,FR,60,SolarPV,Power,18.06654381
2050,FR,60,SolarPV,Power,44.064741
2020,UK,60,SolarPV,Power,3.690051466
2030,UK,60,SolarPV,Power,5.153347737
2040,UK,60,SolarPV,Power,8.27080501
2050,UK,60,SolarPV,Power,25.4486308
2020,DE,72,SolarPV,Power,0.6060222980000001
2030,DE,72,SolarPV,Power,0.8410105360000001
2040,DE,72,SolarPV,Power,1.2244123980000001
2050,DE,72,SolarPV,Power,2.4735604
2020,DK,72,SolarPV,Power,0.09643395
2030,DK,72,SolarPV,Power,0.13179306500000001
2040,DK,72,SolarPV,Power,0.1928679
2050,DK,72,SolarPV,Power,0.3857358
2020,DE,73,SolarPV,Power,18.122958994
2030,DE,73,SolarPV,Power,25.150228808
2040,DE,73,SolarPV,Power,36.615774294000005
2050,DE,73,SolarPV,Power,73.9712612
2020,FR,73,SolarPV,Power,12.78102215
2030,FR,73,SolarPV,Power,17.598484345
2040,FR,73,SolarPV,Power,24.18562653
2050,FR,73,SolarPV,Power,58.989333
2020,NO,73,SolarPV,Power,0.730044277
2030,NO,73,SolarPV,Power,0.987706963
2040,NO,73,SolarPV,Power,1.460088554
2050,NO,73,SolarPV,Power,2.877233327
