Year,Hour,CO2_Transport_Technology,From,To,value
2030,108,Pipeline_diameter_1.6,UK,FR,10.233825357066666
2050,21,Pipeline_diameter_1.6,DE,DK,38.25678121784106
2040,21,Pipeline_diameter_1.6,UK,FR,46.075711371333334
2050,115,Pipeline_diameter_1.6,DK,NO,45.74232420073163
2050,15,Pipeline_diameter_1.6,DE,FR,21.127001341528874
2040,118,Pipeline_diameter_1.6,DE,DK,66.10077636959063
2050,113,Pipeline_diameter_1.6,DE,DK,45.34686521272733
2050,24,Pipeline_diameter_1.6,DK,NO,46.46055099706642
2050,109,Pipeline_diameter_1.6,DK,NO,27.961893471145153
2040,120,Pipeline_diameter_1.6,FR,UK,42.69853052666673
2050,119,Pipeline_diameter_1.6,DK,NO,43.22660979706631
2040,117,Pipeline_diameter_1.6,FR,UK,9.883964000000017
2040,60,Pipeline_diameter_1.6,UK,FR,7.0542359999999995
2050,21,Pipeline_diameter_1.6,FR,UK,11.9915030000001
2040,118,Pipeline_diameter_1.6,FR,UK,10.082414000000222
2050,120,Pipeline_diameter_1.6,DK,NO,35.92746280095303
2040,30,Pipeline_diameter_1.6,UK,FR,4.102243903240661
2050,117,Pipeline_diameter_1.6,DK,NO,53.84141779003649
2050,113,Pipeline_diameter_1.6,FR,UK,9.240985999999962
2040,43,Pipeline_diameter_1.6,UK,FR,14.518602000000001
2040,115,Pipeline_diameter_1.6,DK,NO,8.482087999999981
2040,74,Pipeline_diameter_1.6,DE,FR,5.702188000000013
2050,118,Pipeline_diameter_1.6,DK,NO,47.759138359101904
2040,59,Pipeline_diameter_1.6,UK,FR,8.7972885
2040,109,Pipeline_diameter_1.6,DK,NO,1.1070527131882715
2040,55,Pipeline_diameter_1.6,UK,FR,9.740587499999998
2040,119,Pipeline_diameter_1.6,DK,NO,76.28179970785555
2050,110,Pipeline_diameter_1.6,DE,DK,30.728804499999992
2050,111,Pipeline_diameter_1.6,DE,DK,22.780648973630313
2050,25,Pipeline_diameter_1.6,DE,DK,32.754185200000016
2040,25,Pipeline_diameter_1.6,UK,FR,33.733192499999994
2050,107,Pipeline_diameter_1.6,DK,NO,19.329754921801467
2040,13,Pipeline_diameter_1.6,UK,FR,23.3158905
2040,75,Pipeline_diameter_1.6,DE,FR,4.48767400000012
2040,58,Pipeline_diameter_1.6,UK,FR,8.5512105
2050,16,Pipeline_diameter_1.6,DE,DK,20.311179426443232
2040,16,Pipeline_diameter_1.6,UK,FR,29.049158829258726
2040,10,Pipeline_diameter_1.6,UK,FR,10.127765952000004
2050,26,Pipeline_diameter_1.6,DE,DK,8.592760749119135
2040,26,Pipeline_diameter_1.6,UK,FR,35.5787775
2030,110,Pipeline_diameter_1.6,UK,FR,10.233825357066666
2030,111,Pipeline_diameter_1.6,UK,FR,10.233825357066666
2040,46,Pipeline_diameter_1.6,UK,FR,20.0758635
2050,116,Pipeline_diameter_1.6,DE,DK,37.98016750000003
2050,108,Pipeline_diameter_1.6,DK,NO,23.64583305763898
2040,120,Pipeline_diameter_1.6,DK,NO,68.12445567289623
2040,38,Pipeline_diameter_1.6,UK,FR,10.909457999999999
2040,117,Pipeline_diameter_1.6,DK,NO,80.59816465354142
2040,113,Pipeline_diameter_1.6,FR,UK,23.320912498808372
2040,56,Pipeline_diameter_1.6,UK,FR,9.145899
2040,49,Pipeline_diameter_1.6,UK,FR,23.623488000000002
2050,110,Pipeline_diameter_1.6,FR,UK,7.907402000000085
2050,111,Pipeline_diameter_1.6,FR,UK,8.415830900000184
2050,25,Pipeline_diameter_1.6,FR,UK,25.10720981146681
2050,114,Pipeline_diameter_1.6,DE,DK,38.60528500000004
2050,13,Pipeline_diameter_1.6,FR,UK,6.939670937356292
2050,21,Pipeline_diameter_1.6,DK,NO,50.686373779713065
2050,16,Pipeline_diameter_1.6,FR,UK,11.306849915509476
2050,18,Pipeline_diameter_1.6,DE,DK,20.787349831818297
2040,18,Pipeline_diameter_1.6,UK,FR,36.14769722693333
2040,118,Pipeline_diameter_1.6,DK,NO,80.59849357646084
2040,64,Pipeline_diameter_1.6,UK,FR,9.187127810595937
2050,26,Pipeline_diameter_1.6,FR,UK,27.803494347466938
2050,116,Pipeline_diameter_1.6,FR,UK,7.950410985706698
2050,113,Pipeline_diameter_1.6,DK,NO,54.00657039063326
2050,112,Pipeline_diameter_1.6,DE,DK,50.55753160000007
2040,72,Pipeline_diameter_1.6,DE,DK,34.019262369590535
