Year,Hour,To,From,Fuel,value
2040,66,DE,DK,H2,0.16770902433333346
2020,25,DE,DK,H2,0.6527199268333332
2050,91,DE,DK,H2,2.9878385279166637
2030,4,FR,DE,H2,7.435048991450138
2040,56,DE,DK,H2,0.49209890749999907
2020,51,NO,DK,H2,2.9663717479999994
2030,26,DE,DK,H2,7.321037618666667
2040,57,NO,DK,H2,3.0178348067500007
2050,19,DE,DK,H2,4.4218291712500015
2050,7,DE,DK,H2,19.53125
2050,114,DK,NO,H2,2.711442266625001
2040,49,DE,DK,H2,4.3357317243333355
2050,101,DE,DK,Power,28.05014005500001
2050,24,FR,UK,Power,4.0767269182068055
2040,10,FR,UK,H2,4.982448214333337
2050,112,FR,UK,H2,8.755135019686255
2040,39,DE,DK,Power,3.3463954870000023
2050,97,DK,NO,Power,0.9541925266666347
2050,97,DE,FR,H2,19.53125
2020,5,DK,DE,Power,0.9702605939999991
2040,26,FR,UK,H2,0.6951667153333307
2030,46,DE,DK,H2,0.864256721166667
2050,105,DE,DK,H2,13.03437397383334
2030,116,DE,DK,H2,6.208587846666665
2020,28,NO,DK,Power,3.368420208286416
2040,36,FR,UK,Power,3.27973811347103
2020,81,NO,UK,Power,1.3602383810003797
2040,114,DE,DK,H2,0.3585899763333331
2050,73,DE,DK,H2,4.798385076666669
2030,35,DE,FR,H2,1.9644674488333287
2050,43,DK,NO,Power,6.488615433667609
2050,32,NO,UK,H2,6.977488821249999
2020,26,DE,DK,H2,3.4868338528333336
2020,15,FR,UK,Power,1.7366739097841848
2030,25,FR,UK,H2,2.916666666666666
2030,100,NO,DK,H2,3.125
2040,46,FR,UK,H2,8.743128466153966
2030,74,NO,DK,H2,6.048314114108134
2040,116,FR,UK,H2,13.020833333333334
2040,18,DE,DK,H2,11.05454012783332
2040,32,FR,UK,H2,1.4254373573333368
2040,92,DE,DK,H2,4.639801978333335
2050,89,FR,UK,H2,18.83230872130479
2040,29,NO,DK,H2,0.8767892735000014
2040,75,NO,DK,H2,0.9791320054999995
2020,116,DE,DK,H2,1.049718886333333
2050,4,DK,NO,H2,3.3071481510026715
2050,20,DE,DK,H2,19.53125
2030,68,FR,UK,H2,5.846113118666667
2050,27,DE,DK,H2,11.409588424583335
2020,110,FR,UK,H2,3.456620521333334
2030,82,NO,UK,H2,3.125
2030,57,NO,DK,H2,2.101558818500001
2030,16,FR,UK,H2,0.6235077278063446
2050,65,DE,FR,Power,13.040912915826933
2030,49,DE,DK,H2,2.020120438166668
2020,111,FR,UK,H2,5.0
2030,1,DE,DK,H2,6.420476035500004
2030,10,FR,UK,H2,7.5
2040,5,NO,DK,H2,1.871448209363899
2050,48,DE,DK,H2,1.1534660274999937
2020,25,FR,UK,H2,5.0
2030,72,FR,UK,H2,7.5
2050,91,FR,UK,H2,4.206417715416665
2020,74,NO,DK,H2,2.4981935983333328
2030,26,FR,UK,H2,7.5
2030,100,DE,DK,Power,8.718703236017062
2050,19,FR,UK,H2,10.53970680171751
2040,76,DE,DK,H2,4.137114916999991
2050,67,DE,FR,Power,16.56787559
2050,70,DE,DK,H2,2.192708333333329
2040,49,FR,UK,H2,5.722705799833333
2020,58,DE,FR,Power,0.3141609860000045
2030,36,FR,UK,Power,18.0
2040,1,FR,UK,H2,13.020833333333334
2050,79,DE,FR,H2,40.3535641137111
2020,56,DE,DK,H2,2.88896321942166
2050,59,DE,FR,H2,19.53125
2020,82,NO,UK,H2,2.5
2040,99,DE,DK,H2,9.329147473500004
2020,57,NO,DK,H2,1.215955350293825
2020,16,FR,UK,H2,3.617664648385027
2040,52,NO,DK,H2,4.005423801696152
2020,49,DE,DK,H2,0.45172261933333346
2020,1,DE,DK,H2,1.8094177260000013
2020,10,FR,UK,H2,5.0
2030,46,FR,UK,H2,5.601547987666667
2030,81,UK,FR,H2,7.5
2030,97,NO,UK,H2,2.5706019875000017
2030,116,FR,UK,H2,7.5
2030,18,DE,DK,H2,2.2827510346666657
2050,55,DE,FR,H2,13.884049554909161
2050,120,FR,UK,Power,15.442580730999996
2030,19,FR,DE,H2,7.5
2020,72,FR,UK,H2,5.0
2030,92,DE,DK,H2,3.233249374166667
2040,114,FR,UK,H2,13.020833333333334
2030,67,FR,DE,H2,7.5
2030,7,FR,DE,H2,5.89828434188319
2020,26,FR,UK,H2,5.0
2020,29,FR,UK,Power,0.4282816152815894
2050,87,DE,DK,H2,9.016107578979165
2020,100,DE,DK,Power,9.547419017424282
2050,102,FR,UK,H2,4.52093692874999
2050,102,DE,FR,Power,26.483097639363493
2030,29,NO,DK,H2,7.5
2030,75,NO,DK,H2,7.5
2050,42,FR,UK,Power,28.19926174506414
2040,112,DE,DK,H2,7.995120198833332
2020,36,FR,UK,Power,11.068079176222767
2030,38,FR,UK,H2,7.5
2040,92,FR,UK,H2,9.419570095833334
2030,105,FR,DE,H2,2.7622582249999983
2030,66,FR,UK,H2,5.744816378166666
2050,37,FR,UK,H2,33.085939559945125
2020,46,FR,UK,H2,5.0
2050,106,DE,DK,H2,13.595232372916664
2020,116,FR,UK,H2,5.0
2050,89,DK,NO,H2,1.8878091506249985
2050,58,DE,FR,H2,19.53125
2020,32,FR,UK,H2,3.2411471123333335
2020,92,DE,DK,H2,1.0019662343333329
2030,49,FR,UK,H2,7.5
2040,115,FR,UK,Power,7.743876778995536
2030,1,FR,UK,H2,2.916666666666666
2050,61,DE,DK,H2,2.877035635413123
2040,81,DE,DK,H2,4.109889634833332
2050,48,DE,FR,Power,68.931662605
2020,29,NO,DK,H2,2.5
2020,75,NO,DK,H2,2.5
2050,41,FR,UK,Power,17.07684960077449
2020,38,FR,UK,H2,5.0
2050,103,FR,UK,H2,4.917618462874999
2050,103,DE,FR,Power,41.959080780539566
2050,10,DE,FR,H2,1.8073007103558076
2030,99,DE,DK,H2,7.5
2030,52,NO,DK,H2,7.5
2050,12,DE,DK,Power,31.70933357708821
2030,82,NO,DK,Power,1.630333845000001
2040,82,DE,FR,H2,5.042063718999998
2050,72,DE,FR,H2,18.931778406666623
2020,105,FR,DE,H2,1.5127953688333298
2040,89,DE,DK,H2,4.673121314833333
2050,9,DE,DK,Power,39.936114558843684
2030,20,FR,DE,H2,3.4830499979466136
2030,27,FR,DE,H2,7.5
2040,98,DE,DK,Power,13.26695579
2030,114,FR,UK,H2,7.5
2050,7,DK,NO,H2,8.887416212562501
2040,65,DE,DK,H2,0.14034585033333258
2040,99,FR,UK,H2,3.755906935833341
2020,76,DE,DK,H2,4.251431971333334
2020,49,FR,UK,H2,5.0
2030,112,DE,DK,H2,5.600749824666666
2020,1,FR,UK,H2,5.0
2050,83,FR,UK,H2,23.624904119166672
2040,91,DE,DK,H2,4.568092296833335
2030,18,FR,UK,H2,2.916666666666666
2020,99,DE,DK,H2,5.0
2020,52,NO,DK,H2,2.5
2030,92,FR,UK,H2,3.631329602666666
2050,116,DE,FR,H2,12.576461116774018
2030,116,DK,NO,H2,2.7108513000000007
2040,19,DE,DK,H2,0.29506247233333394
2040,7,DE,DK,H2,0.7330580278333341
2050,87,FR,UK,H2,19.134828017187502
2040,101,DE,DK,Power,8.795362830999998
2050,42,DE,DK,Power,9.293322436938624
2040,24,FR,UK,Power,1.7195919149183547
2050,31,DE,DK,H2,15.362253873186617
2040,112,FR,UK,H2,5.581623127333332
2040,80,NO,DK,H2,0.6362788942500011
2050,38,DK,NO,Power,11.92008610989442
2020,114,FR,UK,H2,5.0
2040,97,DE,FR,H2,4.013414377999995
2030,115,FR,UK,Power,0.8435146618677348
2030,81,DE,DK,H2,1.4810918794999992
2040,105,DE,DK,H2,8.209332782000004
2020,112,DE,DK,H2,2.287354695833333
