Year,Hour,From,To,Fuel,value
2030,73,UK,FR,H2,7.5
2020,58,DK,NO,H2,1.7528853878010209
2030,20,DK,DE,H2,6.577425086666667
2040,1,DK,NO,H2,3.90625
2030,27,DK,DE,H2,7.5
2050,35,DK,DE,Power,7.077253282714622
2020,19,UK,FR,H2,1.9302254078333299
2030,103,FR,DE,H2,7.5
2030,102,UK,FR,H2,3.338958501666662
2050,22,UK,FR,H2,8.235501287782506
2040,34,UK,NO,H2,1.3370853905000004
2050,40,DK,DE,Power,10.040943882499997
2020,102,DK,DE,H2,2.9063424143333325
2050,47,FR,DE,H2,19.53125
2030,103,DK,DE,H2,2.9242556819999983
2050,14,DK,DE,H2,19.53125
2040,106,DK,DE,H2,6.150681173833332
2030,32,DK,NO,H2,3.8442476237417975
2050,34,FR,DE,H2,9.685723750416674
2030,37,UK,FR,H2,7.5
2040,87,UK,FR,H2,2.810929206833336
2020,105,UK,FR,H2,5.0
2030,20,UK,FR,H2,4.3091796936666675
2050,34,DK,DE,H2,6.245131299583331
2030,27,UK,FR,H2,2.916666666666666
2040,61,DK,DE,H2,4.7016994783333335
2020,5,DE,DK,Power,0.9806866662232853
2020,73,UK,FR,H2,5.0
2020,20,DK,DE,H2,2.943083094833333
2050,11,DK,DE,Power,13.332355605083169
2020,27,DK,DE,H2,4.833333333333333
2020,103,FR,DE,H2,1.9447356346666673
2030,48,UK,FR,H2,7.5
2020,102,UK,FR,H2,1.9010540993333347
2050,14,UK,FR,H2,16.276041666666668
2030,82,DK,NO,Power,1.6543168066087695
2020,103,DK,DE,H2,0.6078745263333334
2030,56,DK,NO,H2,1.804084654894739
2020,32,DK,NO,H2,2.5
2020,37,UK,FR,H2,5.0
2030,87,DK,DE,H2,2.3795321321666667
2050,90,UK,FR,H2,16.276041666666668
2030,2,DE,FR,H2,2.916666666666666
2050,36,UK,FR,Power,3.8688493775000126
2020,20,UK,FR,H2,5.0
2030,1,DK,NO,H2,1.0728697966666623
2020,27,UK,FR,H2,0.8242479253333341
2030,34,UK,NO,H2,3.125
2020,48,UK,FR,H2,4.645707441333333
2030,115,NO,DK,H2,2.955197347500003
2030,83,UK,FR,H2,2.716570196666664
2050,101,UK,NO,H2,0.5703210012499866
2030,106,DK,DE,H2,3.8394565856666665
2040,104,FR,DE,H2,1.288114577666665
2040,90,UK,FR,Power,5.294792736156381
2020,56,DK,NO,H2,1.8482490189999998
2040,99,DK,NO,H2,3.90625
2020,70,UK,FR,H2,5.0
2020,87,DK,DE,H2,0.15592799683333314
2030,30,DE,FR,H2,1.3127624659857986
2030,61,DK,DE,H2,3.710451836666667
2040,104,DK,DE,H2,6.860984800833334
2020,1,DK,NO,H2,1.1734324978333328
2050,74,FR,DE,H2,15.362253873186617
2020,115,NO,DK,H2,0.23231600000000086
2020,83,UK,FR,H2,5.0
2050,15,DK,DE,H2,1.348153714238343
2040,59,DK,NO,Power,2.9693343382687494
2030,106,UK,FR,H2,0.2601664391666656
2050,100,DK,DE,H2,11.409588424583335
2020,106,DK,DE,H2,1.8476924408333322
2030,81,FR,UK,H2,7.5
2020,87,UK,FR,H2,5.0
2020,117,DK,DE,Power,1.605350328666665
2050,95,UK,FR,H2,16.276041666666668
2050,57,FR,DE,H2,19.53125
2020,30,DK,NO,Power,2.401775364818854
2020,30,DE,FR,H2,3.7838527964303488
2020,61,DK,DE,H2,1.379640796333333
2050,85,NO,DK,H2,3.2925069124570427
2050,15,UK,FR,H2,16.276041666666668
2050,96,FR,DE,H2,8.577327889331016
2030,76,DK,NO,H2,7.5
2020,106,UK,FR,H2,5.0
2050,93,NO,DK,H2,0.2570140310624982
2050,108,UK,NO,Power,6.623925115704543
2030,99,DK,NO,H2,3.125
2040,17,DK,DE,H2,13.571047678
2050,60,DK,DE,Power,20.65918920915824
2040,58,DK,NO,Power,1.5349740391402236
2030,104,DK,DE,H2,2.506236853526489
2040,39,UK,FR,Power,0.6541191063924927
2030,59,DK,NO,Power,1.3175437938887642
2040,22,DK,DE,H2,6.3894785779999985
2020,76,DK,NO,H2,0.6428527035
2040,42,NO,DK,H2,0.10207934306097144
2050,96,UK,FR,H2,19.479166666666664
2050,11,NO,DK,H2,0.5165651062915884
2020,34,UK,FR,Power,0.9885027226666594
2050,115,UK,FR,Power,22.95733591916668
2030,104,UK,FR,H2,1.5249461961666668
2050,36,FR,DE,H2,19.53125
2030,6,UK,FR,H2,6.353909306666667
2050,29,DK,DE,H2,10.976979270833327
2020,104,DK,DE,H2,2.5182476928333335
2050,33,UK,NO,H2,14.218025710501237
2050,8,DK,DE,H2,19.53125
2030,111,DE,FR,H2,2.460387620563793
2050,5,DK,DE,H2,13.650444604999999
2040,54,DK,DE,H2,13.720050642198961
2040,40,DK,DE,Power,6.304926956444747
2020,59,DK,NO,Power,3.901861213382651
2030,25,DE,FR,H2,7.5
2020,31,UK,FR,H2,2.604312584699911
2030,81,DK,NO,H2,2.2453519165000007
2020,57,UK,NO,H2,1.284044649706175
2040,14,DK,DE,H2,13.720050642198961
2040,32,DK,NO,Power,2.4407635630258993
2050,23,DK,DE,H2,1.3094907477616533
2030,13,DE,FR,H2,7.5
2030,27,DE,FR,Power,9.302984993766106
2020,6,UK,FR,H2,5.0
2050,8,UK,FR,H2,0.22713971550000167
2040,90,DK,DE,H2,3.1664628875529863
2040,34,DK,DE,H2,0.619370079333335
2050,36,UK,FR,H2,35.80729166666667
2040,51,DK,DE,H2,4.718679949833333
2050,12,FR,DE,Power,9.480285585666643
2050,21,NO,DK,H2,3.8508864090624986
2050,5,UK,FR,H2,16.276041666666668
2050,24,UK,FR,Power,4.119282400833335
2030,22,DK,DE,H2,7.398931664166666
2050,37,NO,DK,Power,26.14442460475
2050,23,UK,FR,H2,14.156236651000004
2030,17,UK,FR,H2,2.013923164666666
2040,47,UK,FR,H2,9.706119602512704
2040,20,DK,NO,H2,0.5041362568333323
2040,27,DK,NO,H2,0.5725765229999995
2030,26,DE,FR,H2,2.916666666666666
2050,98,FR,DE,H2,12.505340529166693
2040,61,FR,UK,H2,2.916666666666666
2040,90,UK,FR,H2,7.8274187492551475
2020,58,DK,NO,Power,2.8657542190646232
2040,34,UK,FR,H2,9.878030382333337
2040,1,DK,NO,Power,2.4305342196896857
2040,36,UK,FR,Power,3.313974117281845
2050,98,DK,DE,H2,7.025909470833307
2020,15,UK,FR,Power,1.7548024226521193
2050,43,DK,DE,Power,0.3634833161676081
2030,22,UK,FR,H2,6.691752469666666
2020,22,DK,DE,H2,3.652834884833333
2030,63,UK,FR,H2,3.225121331954794
2050,42,FR,DE,Power,2.275684157064134
2030,32,DK,NO,Power,2.401831101849737
2030,34,FR,DE,H2,0.9493284786865757
2020,17,UK,FR,H2,5.0
2050,101,FR,DE,H2,19.00146053212675
2040,44,UK,NO,Power,0.4958104261377029
2030,34,DK,DE,H2,2.149712402313425
