Year,Region,Hour,CO2_Storage,value
2050,DE,111,Saline_aquifer_offshore,911.9999999999999
2040,FR,111,Saline_aquifer_offshore,304.0
2050,FR,111,Saline_aquifer_offshore,304.0
2040,DK,111,Saline_aquifer_offshore,192.0
2050,DK,111,Saline_aquifer_offshore,192.00000000000003
2050,UK,111,Saline_aquifer_offshore,889.6346891176877
2040,DE,112,Saline_aquifer_offshore,759.1804291921869
2050,DE,112,Saline_aquifer_offshore,912.0
2040,FR,112,Saline_aquifer_offshore,304.0
2050,FR,112,Saline_aquifer_offshore,304.0
2040,DK,112,Saline_aquifer_offshore,191.99999999999997
2050,DK,112,Saline_aquifer_offshore,192.0
2050,UK,112,Saline_aquifer_offshore,919.5132408464959
2040,DE,113,Saline_aquifer_offshore,805.404975369001
2050,DE,113,Saline_aquifer_offshore,912.0
2040,FR,113,Saline_aquifer_offshore,304.0
2050,FR,113,Saline_aquifer_offshore,304.0
2040,DK,113,Saline_aquifer_offshore,192.00000000000003
2050,DK,113,Saline_aquifer_offshore,192.0
2050,UK,113,Saline_aquifer_offshore,950.6215547964723
2040,DE,114,Saline_aquifer_offshore,856.2784991483976
2050,DE,114,Saline_aquifer_offshore,912.0
2040,FR,114,Saline_aquifer_offshore,304.0
2050,FR,114,Saline_aquifer_offshore,303.99999999999994
2040,DK,114,Saline_aquifer_offshore,192.0
2050,DK,114,Saline_aquifer_offshore,192.0
2050,UK,114,Saline_aquifer_offshore,982.801856687632
2040,DE,115,Saline_aquifer_offshore,898.9589889702213
2050,DE,115,Saline_aquifer_offshore,912.0
2040,FR,115,Saline_aquifer_offshore,304.0
2050,FR,115,Saline_aquifer_offshore,303.99999999999994
2040,DK,115,Saline_aquifer_offshore,192.0
2050,DK,115,Saline_aquifer_offshore,192.0
2050,UK,115,Saline_aquifer_offshore,1004.9143100429234
2040,DE,116,Saline_aquifer_offshore,912.0
2050,DE,116,Saline_aquifer_offshore,912.0
2040,FR,116,Saline_aquifer_offshore,304.0
2050,FR,116,Saline_aquifer_offshore,303.99999999999994
2040,DK,116,Saline_aquifer_offshore,192.0
2050,DK,116,Saline_aquifer_offshore,191.99999999999997
2050,UK,116,Saline_aquifer_offshore,1036.920199444099
2040,DE,117,Saline_aquifer_offshore,912.0
2050,DE,117,Saline_aquifer_offshore,911.9999999999999
2040,FR,117,Saline_aquifer_offshore,304.0
2050,FR,117,Saline_aquifer_offshore,304.0
2040,DK,117,Saline_aquifer_offshore,192.0
2050,DK,117,Saline_aquifer_offshore,192.00000000000003
2050,UK,117,Saline_aquifer_offshore,1070.4569310772354
2040,DE,118,Saline_aquifer_offshore,911.9999999999999
2050,DE,118,Saline_aquifer_offshore,912.0
2040,FR,118,Saline_aquifer_offshore,304.0
2050,FR,118,Saline_aquifer_offshore,304.0
2040,DK,118,Saline_aquifer_offshore,191.99999999999997
2050,DK,118,Saline_aquifer_offshore,192.0
2050,UK,118,Saline_aquifer_offshore,1105.9790009533365
2040,DE,119,Saline_aquifer_offshore,911.9999999999999
2050,DE,119,Saline_aquifer_offshore,912.0
2040,FR,119,Saline_aquifer_offshore,304.0
2050,FR,119,Saline_aquifer_offshore,304.0
2040,DK,119,Saline_aquifer_offshore,192.00000000000003
2050,DK,119,Saline_aquifer_offshore,192.00000000000003
2050,UK,119,Saline_aquifer_offshore,1142.6400093785433
2040,DE,120,Saline_aquifer_offshore,912.0
2050,DE,120,Saline_aquifer_offshore,912.0
2040,FR,120,Saline_aquifer_offshore,304.0
2050,FR,120,Saline_aquifer_offshore,304.00000000000006
2040,DK,120,Saline_aquifer_offshore,192.00000000000003
2050,DK,120,Saline_aquifer_offshore,192.0
2050,UK,120,Saline_aquifer_offshore,1179.35473476064
2050,DE,1,Saline_aquifer_onshore,607.9392
2040,FR,1,Saline_aquifer_onshore,341.6245112216257
2050,FR,1,Saline_aquifer_onshore,2303.7696
2050,DE,2,Saline_aquifer_onshore,607.87840608
2040,FR,2,Saline_aquifer_onshore,355.41834477050355
2050,FR,2,Saline_aquifer_onshore,2303.5392230400003
2050,DE,3,Saline_aquifer_onshore,607.8176182393921
2040,FR,3,Saline_aquifer_onshore,370.3152355945296
2050,FR,3,Saline_aquifer_onshore,2303.3088691176963
2050,DE,4,Saline_aquifer_onshore,607.7568364775682
2040,FR,4,Saline_aquifer_onshore,383.4076560709702
2050,FR,4,Saline_aquifer_onshore,2303.0785382307845
2050,DE,5,Saline_aquifer_onshore,607.6960607939204
2040,FR,5,Saline_aquifer_onshore,395.2366253053631
2050,FR,5,Saline_aquifer_onshore,2302.8482303769615
2050,DE,6,Saline_aquifer_onshore,607.6352911878411
2040,FR,6,Saline_aquifer_onshore,406.1019644999754
2050,FR,6,Saline_aquifer_onshore,2303.9999999999995
2050,DE,7,Saline_aquifer_onshore,607.5745276587223
2040,FR,7,Saline_aquifer_onshore,415.8727223035254
2050,FR,7,Saline_aquifer_onshore,2303.7695999999996
2050,DE,8,Saline_aquifer_onshore,607.5137702059565
2040,FR,8,Saline_aquifer_onshore,426.4146978884379
2050,FR,8,Saline_aquifer_onshore,2303.53922304
2050,DE,9,Saline_aquifer_onshore,607.4530188289359
2040,FR,9,Saline_aquifer_onshore,435.7865244186491
2050,FR,9,Saline_aquifer_onshore,2303.308869117696
2050,DE,10,Saline_aquifer_onshore,607.392273527053
2040,FR,10,Saline_aquifer_onshore,454.789536120724
2050,FR,10,Saline_aquifer_onshore,2303.078538230784
2050,DE,11,Saline_aquifer_onshore,607.3315342997004
2040,FR,11,Saline_aquifer_onshore,464.242627742285
2050,FR,11,Saline_aquifer_onshore,2302.848230376961
2050,DE,12,Saline_aquifer_onshore,607.2708011462704
2040,FR,12,Saline_aquifer_onshore,485.31788351292226
2050,FR,12,Saline_aquifer_onshore,2302.6179455539245
2050,DE,13,Saline_aquifer_onshore,607.2100740661558
2040,FR,13,Saline_aquifer_onshore,522.7156467681184
2050,FR,13,Saline_aquifer_onshore,2304.0
2050,DE,14,Saline_aquifer_onshore,608.0
2040,FR,14,Saline_aquifer_onshore,577.9174188037185
2050,FR,14,Saline_aquifer_onshore,2304.0
2050,DE,15,Saline_aquifer_onshore,608.0
2040,FR,15,Saline_aquifer_onshore,646.0667702645414
2050,FR,15,Saline_aquifer_onshore,2304.0
2050,DE,16,Saline_aquifer_onshore,608.0000000000001
2040,FR,16,Saline_aquifer_onshore,717.8012907636115
2050,FR,16,Saline_aquifer_onshore,2304.0
2050,DE,17,Saline_aquifer_onshore,608.0
2040,FR,17,Saline_aquifer_onshore,798.2304559844812
2050,FR,17,Saline_aquifer_onshore,2304.0
2050,DE,18,Saline_aquifer_onshore,608.0000000000001
2040,FR,18,Saline_aquifer_onshore,863.8074867674657
2050,FR,18,Saline_aquifer_onshore,2304.0000000000005
2050,DE,19,Saline_aquifer_onshore,608.0
2040,FR,19,Saline_aquifer_onshore,926.3671019042616
2050,FR,19,Saline_aquifer_onshore,2304.0000000000005
2050,DE,20,Saline_aquifer_onshore,608.0
2040,FR,20,Saline_aquifer_onshore,1004.7620952902457
2050,FR,20,Saline_aquifer_onshore,2304.0
2040,DE,21,Saline_aquifer_onshore,7.3125
2050,DE,21,Saline_aquifer_onshore,607.9999999999999
2040,FR,21,Saline_aquifer_onshore,1085.2406155447488
2050,FR,21,Saline_aquifer_onshore,2304.0
2040,DE,22,Saline_aquifer_onshore,42.24690675
2050,DE,22,Saline_aquifer_onshore,608.0000000000001
2040,FR,22,Saline_aquifer_onshore,1157.9029480005483
2050,FR,22,Saline_aquifer_onshore,2304.0
2040,DE,23,Saline_aquifer_onshore,75.36795605932501
2050,DE,23,Saline_aquifer_onshore,608.0
2040,FR,23,Saline_aquifer_onshore,1208.39683029651
2050,FR,23,Saline_aquifer_onshore,2304.0
2040,DE,24,Saline_aquifer_onshore,107.8189012637191
2050,DE,24,Saline_aquifer_onshore,608.0
2040,FR,24,Saline_aquifer_onshore,1256.7549839463077
2050,FR,24,Saline_aquifer_onshore,2304.0000000000005
2040,DE,25,Saline_aquifer_onshore,139.14734337359272
2050,DE,25,Saline_aquifer_onshore,608.0
2040,FR,25,Saline_aquifer_onshore,1314.3128161605437
2050,FR,25,Saline_aquifer_onshore,2304.0000000000005
2040,DE,26,Saline_aquifer_onshore,169.1866966392554
2050,DE,26,Saline_aquifer_onshore,608.0
2040,FR,26,Saline_aquifer_onshore,1388.467261475108
2050,FR,26,Saline_aquifer_onshore,2304.0000000000005
2040,DE,27,Saline_aquifer_onshore,187.1177812354096
2050,DE,27,Saline_aquifer_onshore,607.9392
2040,FR,27,Saline_aquifer_onshore,1438.8273729996438
2050,FR,27,Saline_aquifer_onshore,2303.7696000000005
2040,DE,28,Saline_aquifer_onshore,200.66529672310423
2050,DE,28,Saline_aquifer_onshore,607.87840608
2040,FR,28,Saline_aquifer_onshore,1463.7168476999161
2050,FR,28,Saline_aquifer_onshore,2303.53922304
2040,DE,29,Saline_aquifer_onshore,207.4959094592501
2050,DE,29,Saline_aquifer_onshore,607.817618239392
2040,FR,29,Saline_aquifer_onshore,1484.0822807500344
2050,FR,29,Saline_aquifer_onshore,2303.308869117696
2040,DE,30,Saline_aquifer_onshore,210.58704113412236
2050,DE,30,Saline_aquifer_onshore,607.7568364775681
2040,FR,30,Saline_aquifer_onshore,1496.3696037764898
2050,FR,30,Saline_aquifer_onshore,2303.078538230784
2040,DE,31,Saline_aquifer_onshore,217.44822843000895
2050,DE,31,Saline_aquifer_onshore,607.6960607939203
2040,FR,31,Saline_aquifer_onshore,1501.5304888161122
2050,FR,31,Saline_aquifer_onshore,2302.848230376961
2040,DE,32,Saline_aquifer_onshore,223.97533360716602
2050,DE,32,Saline_aquifer_onshore,607.6352911878412
2040,FR,32,Saline_aquifer_onshore,1504.2459537672305
2050,FR,32,Saline_aquifer_onshore,2302.6179455539236
2040,DE,33,Saline_aquifer_onshore,229.3349000738053
2050,DE,33,Saline_aquifer_onshore,607.5745276587224
2040,FR,33,Saline_aquifer_onshore,1515.4405887305327
2050,FR,33,Saline_aquifer_onshore,2302.3876837593684
2040,DE,34,Saline_aquifer_onshore,238.45654258379793
2050,DE,34,Saline_aquifer_onshore,607.5137702059566
2040,FR,34,Saline_aquifer_onshore,1526.520354476812
2050,FR,34,Saline_aquifer_onshore,2302.1574449909926
2040,DE,35,Saline_aquifer_onshore,247.17243492953955
2050,DE,35,Saline_aquifer_onshore,607.453018828936
2040,FR,35,Saline_aquifer_onshore,1529.1301264413642
2050,FR,35,Saline_aquifer_onshore,2301.9272292464934
2040,DE,36,Saline_aquifer_onshore,259.7215096860466
2050,DE,36,Saline_aquifer_onshore,607.3922735270531
2040,FR,36,Saline_aquifer_onshore,1533.737537121059
2050,FR,36,Saline_aquifer_onshore,2301.697036523569
2040,DE,37,Saline_aquifer_onshore,272.055003535078
2050,DE,37,Saline_aquifer_onshore,607.3315342997005
2040,FR,37,Saline_aquifer_onshore,1547.7848313944817
2050,FR,37,Saline_aquifer_onshore,2301.4668668199165
2040,DE,38,Saline_aquifer_onshore,297.27186854535444
2050,DE,38,Saline_aquifer_onshore,607.2708011462705
2040,FR,38,Saline_aquifer_onshore,1569.2797182183856
2050,FR,38,Saline_aquifer_onshore,2301.2367201332345
2040,DE,39,Saline_aquifer_onshore,322.2230273584999
2050,DE,39,Saline_aquifer_onshore,607.2100740661559
2040,FR,39,Saline_aquifer_onshore,1594.7709705975687
2050,FR,39,Saline_aquifer_onshore,2301.0065964612218
2040,DE,40,Saline_aquifer_onshore,346.481085055764
2050,DE,40,Saline_aquifer_onshore,607.1493530587493
2040,FR,40,Saline_aquifer_onshore,1617.7809107312623
2050,FR,40,Saline_aquifer_onshore,2300.7764958015755
